INFO 2025-09-05 15:46:10,188 basehttp 16672 3504 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:46:11,633 basehttp 16672 3504 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:11,720 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:11,803 basehttp 16672 3504 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:11,937 basehttp 16672 16616 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:13,017 basehttp 16672 16616 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:13,082 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:13,151 basehttp 16672 3504 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:13,304 basehttp 16672 16616 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:13,314 basehttp 16672 7388 "GET /media/products/jeans_3h2FI36.jpg HTTP/1.1" 304 0
INFO 2025-09-05 15:46:13,392 basehttp 16672 7388 "GET /media/products/default_6tl8hN7.jpg HTTP/1.1" 304 0
INFO 2025-09-05 15:46:13,824 basehttp 16672 16616 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:13,865 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:14,656 basehttp 16672 16616 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:14,835 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:17,478 basehttp 16672 16616 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:17,538 basehttp 16672 16616 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:46:17,557 basehttp 16672 3504 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:17,570 basehttp 16672 4236 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:46:19,228 basehttp 16672 4236 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:19,271 basehttp 16672 4236 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:19,462 basehttp 16672 3504 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:20,009 basehttp 16672 2916 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:35,850 basehttp 16672 16772 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:35,866 basehttp 16672 16772 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:36,534 basehttp 16672 16772 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:36,598 basehttp 16672 16772 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:37,412 basehttp 16672 16772 "POST /api/token/verify/ HTTP/1.1" 200 2
